"research_id","research_date","total_gaps_identified","competitors_analyzed","phase_1_focus","phase_2_focus","phase_3_focus","estimated_traffic_growth","approval_status","notes","created_at"
"RESEARCH-20251013-003","2025-10-13","1","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-13T07:58:41.505Z"
"RESEARCH-20251013-004","2025-10-13","7","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-13T08:12:06.303Z"
"RESEARCH-20251013-005","2025-10-13","2","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-13T08:16:50.864Z"
"RESEARCH-20251013-006","2025-10-13","4","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-13T09:56:34.815Z"
"RESEARCH-20251016-001","2025-10-16","9","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-16T13:54:57.798Z"
"RESEARCH-20251016-002","2025-10-16","4","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-16T14:03:45.219Z"
"RESEARCH-20251017-001","2025-10-17","4","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","Content creation for high-priority gaps and quick wins","Authority building through comprehensive guides and pillar content","Optimization and expansion of existing content","30% over the next 12 months","Pending","","2025-10-17T10:38:41.149Z"
"RESEARCH-20251023-001","2025-10-23","3","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-23T15:53:28.828Z"
"RESEARCH-20251023-002","2025-10-23","2","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-10-23T16:10:04.064Z"
"RESEARCH-20251027-001","2025-10-27","10","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","Develop comprehensive derivatives content with practical tools.","Expand mutual funds and SIP content with updated data and calculators.","Enhance robo-advisory and index investing guides with interactive features.","20-30% over the next 12 months","Pending","","2025-10-27T09:07:51.836Z"
"RESEARCH-20251118-001","2025-11-18","1","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-11-18T12:44:08.392Z"
"RESEARCH-20251118-002","2025-11-18","10","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2025-11-18T19:20:01.290Z"
"RESEARCH-20260113-001","2026-01-13","10","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","Quick wins on silver ETF basics, tax benefits, and beginner guides (Months 1‑2)","Authority building with comprehensive guides, market outlooks, and regulatory deep‑dives (Months 3‑4)","YMYL pillar content covering risk management, portfolio allocation, and long‑term silver investment strategies (Months 5‑6)","Month 1: 5K, Month 3: 30K, Month 6: 120K, Month 12: 600K+","Pending","","2026-01-13T19:07:18.403Z"
"RESEARCH-20260114-001","2026-01-14","9","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","","","","","Pending","","2026-01-14T04:54:44.095Z"
"RESEARCH-20260114-002","2026-01-14","9","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","Develop comprehensive beginner guides and tutorials.","Create comparative and analytical content.","Focus on thought-leadership and future market trends.","30% over the next 12 months","Pending","","2026-01-14T06:11:12.233Z"
"RESEARCH-20260114-003","2026-01-14","6","Groww.in; Zerodha.com/varsity; ETMoney.com; PaytmMoney.com; INDmoney.com","Develop comprehensive guides and tutorials for silver ETFs.","Create interactive tools and calculators for user engagement.","Expand content to include comparative analysis with other investment options.","50% over the next 12 months","Pending","","2026-01-14T07:01:36.846Z"
