"topic_id","current_stage","overall_status","research_approval","topic_approval","deep_research_approval","content_approval","seo_approval","publication_approval","last_updated","notes"
"TOPIC-130","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.270Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-132","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.272Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-133","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.274Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-134","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.277Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-136","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.279Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-137","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.281Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-138","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.283Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-139","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.285Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-140","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.288Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-141","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.290Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-142","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.293Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-144","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.295Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-145","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.297Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-146","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.299Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-147","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.302Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-149","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.304Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-150","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.307Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-151","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.309Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-152","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.312Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-153","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.314Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-154","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.317Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-155","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.319Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-156","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.322Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-157","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.324Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-158","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.326Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-159","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.329Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-160","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.331Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-162","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.334Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-163","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.336Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-164","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.339Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-165","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.342Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-166","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.345Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-167","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.347Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-169","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Pending","Published","2025-10-12T19:40:10.721Z","Published to WordPress/Sanity."
"TOPIC-171","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-13T07:56:04.029Z","Published to WordPress/Sanity."
"TOPIC-172","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Not Started","Published","2025-10-16T13:41:46.564Z","Published to WordPress/Sanity."
"TOPIC-173","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-16T14:02:01.582Z","Published to WordPress/Sanity."
"TOPIC-174","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-21T13:18:07.503Z","Published to WordPress/Sanity."
"TOPIC-178","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-23T16:14:28.228Z","Published to WordPress/Sanity."
"TOPIC-179","SEO Optimization","SEO Metadata Pending Review","Not Started","Not Started","Not Started","Pending","Pending","Not Started","2025-10-23T16:13:39.888Z","Review SEO metadata in created-content.csv."
"TOPIC-181","Content Creation","Content Drafted","Not Started","Not Started","Not Started","Pending","Not Started","Not Started","2025-11-19T08:22:02.048Z","Draft ready for SEO optimization"
"TOPIC-183","Content Creation","Content Drafted","Not Started","Not Started","Not Started","Pending","Not Started","Not Started","2025-11-19T08:23:56.211Z","Draft ready for SEO optimization"
"TOPIC-184","Content Creation","Content Drafted","Not Started","Not Started","Not Started","Pending","Not Started","Not Started","2025-11-19T08:27:15.028Z","Draft ready for SEO optimization"
"TOPIC-185","Content Creation","Content Drafted","Not Started","Not Started","Not Started","Pending","Not Started","Not Started","2025-11-19T08:32:55.907Z","Draft ready for SEO optimization"
"TOPIC-186","Content Creation","Content Drafted","Not Started","Not Started","Not Started","Pending","Not Started","Not Started","2025-11-19T09:34:53.123Z","Draft ready for SEO optimization"
"TOPIC-188","Content Creation","Content Drafted","Not Started","Not Started","Not Started","Pending","Not Started","Not Started","2025-11-19T09:36:47.817Z","Draft ready for SEO optimization"
"TOPIC-189","Content Creation","Content Drafted","Not Started","Not Started","Not Started","Pending","Not Started","Not Started","2025-11-19T09:53:57.374Z","Draft ready for SEO optimization"
"TOPIC-190","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.909Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-192","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.912Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-193","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.915Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-194","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.918Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-195","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.922Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-197","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.926Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-198","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.930Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-199","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.933Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-200","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.937Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-201","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.940Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-202","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.943Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-203","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.946Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-204","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.949Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-205","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.953Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-206","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.956Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-207","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.959Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-208","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.963Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-209","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.966Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-210","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.969Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-211","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.973Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-212","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.976Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-213","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.980Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-214","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.983Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-215","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:54:20.987Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-319","Publication","Content Published","Not Started","Not Started","Approved","Pending","Pending","Published","2025-10-12T20:01:37.554Z","Published to WordPress/Sanity."
"TOPIC-320","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.880Z","Deep research ready. Awaiting manual approval."
"TOPIC-321","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.884Z","Deep research ready. Awaiting manual approval."
"TOPIC-323","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.888Z","Deep research ready. Awaiting manual approval."
"TOPIC-324","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.893Z","Deep research ready. Awaiting manual approval."
"TOPIC-325","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.898Z","Deep research ready. Awaiting manual approval."
"TOPIC-326","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.902Z","Deep research ready. Awaiting manual approval."
"TOPIC-327","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.905Z","Deep research ready. Awaiting manual approval."
"TOPIC-328","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.909Z","Deep research ready. Awaiting manual approval."
"TOPIC-329","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.912Z","Deep research ready. Awaiting manual approval."
"TOPIC-331","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.915Z","Deep research ready. Awaiting manual approval."
"TOPIC-332","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.918Z","Deep research ready. Awaiting manual approval."
"TOPIC-333","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.922Z","Deep research ready. Awaiting manual approval."
"TOPIC-335","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.925Z","Deep research ready. Awaiting manual approval."
"TOPIC-336","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.929Z","Deep research ready. Awaiting manual approval."
"TOPIC-337","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.933Z","Deep research ready. Awaiting manual approval."
"TOPIC-339","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.936Z","Deep research ready. Awaiting manual approval."
"TOPIC-340","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.939Z","Deep research ready. Awaiting manual approval."
"TOPIC-341","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.943Z","Deep research ready. Awaiting manual approval."
"TOPIC-342","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.947Z","Deep research ready. Awaiting manual approval."
"TOPIC-343","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.950Z","Deep research ready. Awaiting manual approval."
"TOPIC-344","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.953Z","Deep research ready. Awaiting manual approval."
"TOPIC-345","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.957Z","Deep research ready. Awaiting manual approval."
"TOPIC-346","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.960Z","Deep research ready. Awaiting manual approval."
"TOPIC-347","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.964Z","Deep research ready. Awaiting manual approval."
"TOPIC-348","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.967Z","Deep research ready. Awaiting manual approval."
"TOPIC-349","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.971Z","Deep research ready. Awaiting manual approval."
